0    [main] DEBUG ru.nsu.gordin.Main  - DEBUUUUGGG
2    [main] INFO  ru.nsu.gordin.Main  - factory init
0    [main] DEBUG ru.nsu.gordin.Main  - DEBUUUUGGG
1    [main] INFO  ru.nsu.gordin.Main  - creating factory
3    [main] INFO  ru.nsu.gordin.Main  - factory init
4    [main] DEBUG ru.nsu.gordin.AbstractFactory  - void AbstractFactory.init(String filename = ru/nsu/gordin/initFile)
4    [main] INFO  ru.nsu.gordin.Main  - creating controller
6    [main] INFO  ru.nsu.gordin.Main  - creating viewer
8    [main] INFO  ru.nsu.gordin.Main  - controller run...
19787 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19787 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19788 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19788 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19788 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19788 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19791 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19791 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19791 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19791 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19791 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19791 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19791 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19791 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19791 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19792 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19792 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19792 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19792 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19792 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26053 [main] DEBUG ru.nsu.gordin.AbstractFactory  - Command AbstractFactory.create(String key = TELEPORT)
26084 [main] DEBUG ru.nsu.gordin.Model  - void Model.set(int x1 = 3, int y1 = 3)
26085 [main] DEBUG ru.nsu.gordin.Viewer  - void Viewer.print(Model = ru.nsu.gordin.Model@33ff9a48)
26085 [main] DEBUG ru.nsu.gordin.Model  - char[][] Model.getField()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26085 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
26086 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26087 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
26088 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32232 [main] DEBUG ru.nsu.gordin.AbstractFactory  - Command AbstractFactory.create(String key = MOVE)
32237 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = R)
32237 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = R)
32238 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = R)
32238 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = R)
32238 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = R)
32238 [main] DEBUG ru.nsu.gordin.Viewer  - void Viewer.print(Model = ru.nsu.gordin.Model@33ff9a48)
32238 [main] DEBUG ru.nsu.gordin.Model  - char[][] Model.getField()
32238 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32238 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32238 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32239 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32239 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32239 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32239 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32239 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32239 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32239 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32240 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32240 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32240 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32240 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32240 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32240 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32240 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32241 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32241 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32241 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32241 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32241 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32242 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32242 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
32242 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32242 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32242 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32242 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32242 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32242 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32242 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32243 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32243 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32243 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32243 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32243 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32243 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32243 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32243 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
32243 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
38910 [main] DEBUG ru.nsu.gordin.AbstractFactory  - Command AbstractFactory.create(String key = MOVE)
38915 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = D)
38915 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = D)
38915 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = D)
38915 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = D)
38915 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = D)
38915 [main] DEBUG ru.nsu.gordin.Viewer  - void Viewer.print(Model = ru.nsu.gordin.Model@33ff9a48)
38915 [main] DEBUG ru.nsu.gordin.Model  - char[][] Model.getField()
38915 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
38916 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
38917 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
38917 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
